start_idx,end_idx,accuracy,precision,recall,f1_score
0,5000,0.55,0.4286330314790858,0.5179781136008338,0.4690891930155734
5000,10000,0.6174,0.5008077544426495,0.1619644723092999,0.24476904855902093
10000,15000,0.6068,0.2,0.0005094243504839531,0.0010162601626016261
15000,20000,0.549,0.4244935543278085,0.478463933575506,0.4498658209319346
20000,25000,0.6158,0.45161290322580644,0.0441408302679979,0.08042125418860699
25000,30000,0.4582,0.3914666666666667,0.7746701846965699,0.5201062887511072
30000,35000,0.603,0.4562841530054645,0.17386777719937532,0.2517904259329061
35000,40000,0.5832,0.4055727554179567,0.2847826086956522,0.334610472541507
40000,45000,0.5184,0.41083362645093213,0.6144134665965282,0.4924114671163575
45000,50000,0.433,0.4029136768862796,0.9541709577754892,0.5665800336340009
50000,55000,0.4104,0.38403936670945654,0.9629828326180258,0.5490975833588253
55000,60000,0.6234,0.4590909090909091,0.10936654033567948,0.17665063401836467
60000,65000,0.6202,0.3,0.0031729243786356425,0.006279434850863423
65000,70000,0.4718,0.4087423312883436,0.8297872340425532,0.5476965233772906
70000,75000,0.4254,0.3958145814581458,0.9034411915767848,0.550461586606165
75000,80000,0.6234,0.46153846153846156,0.009574468085106383,0.018759770713913496
80000,85000,0.3994,0.3795986622073579,0.9810913019989195,0.5474001507159005
85000,90000,0.5706,0.4319088319088319,0.3972746331236897,0.4138684138684139
90000,95000,0.6276,0.34375,0.005939524838012959,0.01167728237791932
95000,100000,0.5276,0.4200867534200868,0.6686139139670738,0.5159836065573771
100000,105000,0.451,0.3985294117647059,0.8482003129890454,0.542271135567784
105000,110000,0.6106,0.45806451612903226,0.0739198334200937,0.12729717615419095
110000,115000,0.6184,0.5148809523809523,0.09019812304483837,0.15350488021295475
115000,116168,0.4212328767123288,0.3879310344827586,0.916289592760181,0.5450874831763123
